,country1,country2,geo_dist,religious_dist,relig_diff(7),geo_dist_new
847,ECU,NLD,1778.688,0.904,-0.434402258846603,9698.850966279684
848,ECU,NZL,11378.949,0.768,-0.605242116320972,11528.54164702751
849,ECU,PAK,15256.375,0.535,1.50575567199324,15310.773261280443
850,ECU,PER,1325.133,0.111,-1.45837846718232,1427.1867747105252
851,ECU,PHL,17343.082,0.526,-1.41414991077307,17481.47525273437
853,ECU,ROU,11178.041,0.074,-1.48630179532664,11125.799123615836
854,ECU,RUS,11622.449,0.683,-0.67209873039176,11977.164769892694
855,ECU,SGP,19728.45,0.409,0.59315797051392,19791.84585996429
856,ECU,SRB,10733.174,0.619,-1.53028161599933,10819.9160275074
857,ECU,SVK,10442.365,0.738,-1.48630179532664,10643.130857922284
858,ECU,THA,18506.755,0.01,1.53414898009288,18433.96807609511
859,ECU,TJK,14602.276,0.201,1.46635620723697,14940.941938936776
860,ECU,TUN,9904.675,0.577,1.63092560546771,9825.922369822876
861,ECU,TUR,11828.121,0.162,1.61088191585177,12030.74135158933
862,ECU,TWN,16516.26,0.728,0.558126158778019,16787.584780179313
863,ECU,UKR,11359.151,0.344,-1.55309525688908,11560.187798817258
864,ECU,URY,4494.622,1.01,-0.906791748107124,4220.433349710548
865,ECU,USA,2542.209,0.593,-1.13360643292181,4943.918157957727
866,ECU,UZB,14413.15,0.063,1.44748501099892,14142.738806322619
867,ECU,VEN,1752.024,0.22,-1.45605152317029,1775.950428934422
868,ECU,VNM,17653.373,0.962,0.742451902495926,17707.710465964385
869,ECU,ZWE,12063.168,0.534,-0.976701056692697,11861.635798590713
870,EGY,ETH,2462.31,0.047,-0.333042575353044,2261.243212829664
871,EGY,GBR,3508.408,1.865,0.60130008886272,4058.17294399739
872,EGY,GRC,1120.666,0.677,1.35011902167055,1644.382735924719
873,EGY,GTM,12046.428,0.684,1.4028261117077,12073.364368840086
875,EGY,IDN,8979.704,0.007,-1.5007941440737,8310.410797053702
876,EGY,IND,6043.166,0.511,1.01843830493775,5037.4572477844185
877,EGY,IRN,1981.262,0.38,-1.28243907677941,2555.257007500958
878,EGY,IRQ,1295.48,0.141,-1.3906354934387,1538.3424344855339
879,EGY,JOR,493.498,0.031,-1.39216669607781,849.6116707894856
880,EGY,JPN,9567.783,1.797,1.09903720662976,9852.168620783652
881,EGY,KAZ,4049.931,1.019,-0.714245744761741,4217.3007683483975
882,EGY,KEN,3533.483,0.164,0.794655892736586,2991.330595673057
